0,0,1,0,7,0,7,8,1,0,7,8,9,2,9,16,23,22,21,22,29,28,35,42,43,44,43,36,35,28,35,
1,0,1,2,3,2,9,2,3,2,3,10,17,18,11,10,17,24,31,32,25,26,33,40,40,47,40,40,33,26,25,
2,0,1,2,3,2,3,2,9,10,17,16,23,22,29,29,29,29,22,21,14,7,14,21,28,21,22,29,30,37,36,
3,0,7,8,1,8,1,2,1,8,1,0,7,14,21,28,21,28,21,28,35,36,29,29,29,29,36,29,22,29,36,
4,0,7,8,9,8,9,10,11,4,5,12,13,12,5,6,13,20,27,20,13,20,19,18,17,24,25,32,32,31,32,
5,0,1,2,9,10,11,10,11,10,11,11,10,11,12,5,6,13,12,13,6,5,12,13,12,13,20,13,6,13,12,
6,0,7,0,7,14,7,8,1,8,15,16,23,16,23,22,29,36,43,42,42,35,28,35,42,35,28,21,22,15,15,
7,0,1,8,1,2,9,2,3,2,9,16,9,2,9,10,11,11,4,3,4,5,4,11,10,11,4,11,4,3,10,
8,0,7,8,9,16,15,22,23,24,25,24,25,32,25,24,31,24,23,30,31,30,37,38,31,38,31,38,39,38,37,
9,0,1,0,1,0,7,0,7,0,7,0,7,14,21,28,21,28,21,28,29,36,35,42,35,28,21,28,29,36,37,
10,0,7,8,1,8,1,0,7,8,1,2,1,8,9,16,23,24,23,16,15,14,7,14,15,8,1,8,1,0,1,
11,0,7,8,1,2,1,2,9,2,3,10,17,10,11,12,19,20,13,6,5,12,13,20,27,20,27,20,13,12,19,
12,0,7,8,1,8,1,0,1,2,3,4,3,2,3,10,3,2,9,16,23,24,17,18,25,24,25,32,31,32,39,
13,0,1,0,7,0,7,8,15,8,15,16,23,24,31,38,31,30,31,32,25,32,32,25,24,25,32,25,32,32,25,
14,0,1,2,9,16,15,14,15,22,21,14,21,22,21,22,29,30,31,30,37,37,30,29,22,15,8,15,16,9,8,
15,0,7,8,1,0,1,2,1,8,1,2,3,4,11,18,25,32,32,32,32,31,32,39,38,31,32,25,26,19,18,
16,0,7,0,1,2,1,8,7,8,1,0,1,2,3,4,3,10,3,10,11,4,5,12,5,4,11,12,5,6,13,
17,0,1,0,7,14,21,14,15,8,9,8,7,14,15,22,21,22,21,14,21,14,7,8,7,0,1,8,1,0,1,
18,0,1,8,1,2,9,16,15,22,21,22,15,16,15,16,23,16,23,22,29,28,29,30,37,38,37,38,37,36,37,
19,0,7,8,9,16,15,8,7,8,9,16,15,16,15,16,17,16,15,16,9,2,9,16,15,8,9,10,9,16,23,
20,0,7,8,9,16,23,30,37,30,23,24,25,24,25,32,33,40,40,39,46,47,46,47,48,
21,0,7,14,7,0,1,8,1,8,9,16,23,24,31,32,31,32,39,46,45,46,39,46,39,40,33,40,39,46,39,
22,0,1,0,1,8,9,8,7,0,7,14,21,28,29,30,37,37,30,37,30,37,44,37,36,37,44,43,42,35,28,
23,0,1,2,1,8,15,22,23,22,21,14,7,0,1,2,1,8,1,8,1,0,1,2,3,4,3,2,9,16,23,
24,0,1,0,7,8,1,8,7,8,9,10,11,11,18,17,24,31,30,37,37,37,37,44,45,38,37,44,45,46,45,
25,0,7,0,7,0,1,2,3,4,5,6,13,12,19,18,19,20,19,20,13,20,13,20,13,12,13,20,27,34,27,
26,0,1,0,7,8,15,16,15,16,15,16,9,8,7,8,9,2,9,16,23,30,37,44,43,44,37,30,23,23,23,
27,0,7,8,9,16,23,23,23,23,23,24,31,38,39,46,47,40,39,46,47,46,39,32,32,25,32,32,33,40,33,
28,0,7,0,7,0,7,14,15,8,15,16,23,30,29,30,37,37,44,43,44,45,44,43,44,45,38,37,36,29,36,
29,0,7,8,1,2,9,16,9,10,17,24,17,18,25,32,39,46,39,46,47,46,39,38,31,32,33,32,39,38,37,
30,0,7,0,1,0,7,8,1,2,1,2,1,8,7,0,7,8,7,0,1,0,7,8,1,2,1,2,1,0,7,
